clip,category,knn100,knn800,logdens100,logdens800,catmass100,catmass800,dlogdens,dknn
KIT_3_walking_medium08_poses_100_jpos,locomotion,1.204425583290719,0.5382036463466556,-1.582018993741091,-0.9441427634104347,0.622638813930601,0.5265756817306684,0.6378762303306562,-0.6662219369440633
KIT_421_push_recovery_stand_left03_poses_100_jpos,locomotion,1.4467996138831758,1.0507716064390613,-1.5704758666544596,-0.9538818619869995,0.622638813930601,0.5265756817306684,0.6165940046674601,-0.3960280074441145
GRAB_s6_mouse_pick_all,locomotion,1.307656312451763,0.5085747405769606,-1.6648863805035063,-0.9941183466819794,0.622638813930601,0.5265756817306684,0.6707680338215269,-0.7990815718748024
KIT_8_WalkingStraightForwards09_poses_100_jpos,locomotion,1.1339823492549415,0.6853326483623854,-1.709741676240536,-1.0829994312998037,0.622638813930601,0.5265756817306684,0.6267422449407323,-0.44864970089255607
CMU_106_106_13_poses_60_jpos,quiet,1.9316784672131135,1.4980482242569564,-2.040637003789883,-1.3122170223446847,0.22745166513222648,0.44739122063919934,0.7284199814451982,-0.43363024295615715
GRAB_s4_apple_pick_all,locomotion,0.9292402674531134,0.5187611974683353,-1.5037289434298695,-0.8432565414295412,0.622638813930601,0.5265756817306684,0.6604724020003283,-0.4104790699847781
GRAB_s6_spherelarge_pick_all,locomotion,1.2852716897716376,0.47003522446600216,-1.630006408713591,-0.9520548123188478,0.622638813930601,0.5265756817306684,0.6779515963947432,-0.8152364653056354
KIT_572_throw_left04_poses_100_jpos,quiet,1.4667895246412879,1.0902170379003513,-1.6386110011287072,-1.027389435841404,0.22745166513222648,0.44739122063919934,0.6112215652873032,-0.3765724867409366
GRAB_s5_spherelarge_pick_all,quiet,1.24181367001204,0.698154323841146,-1.6264839796321904,-0.9269174184067283,0.22745166513222648,0.44739122063919934,0.6995665612254621,-0.543659346170894
GRAB_s8_toruslarge_inspect_1,locomotion,1.0229357230967875,0.5968727840994278,-1.4306375891239393,-0.7836853433032032,0.622638813930601,0.5265756817306684,0.6469522458207362,-0.4260629389973597
GRAB_s9_stapler_pass_1,locomotion,0.9501919664374661,0.5490182626513187,-1.3954633619207832,-0.7617359351267377,0.622638813930601,0.5265756817306684,0.6337274267940456,-0.40117370378614736
GRAB_s1_toothpaste_pick_all,quiet,1.0956852373287396,0.4665730950832655,-1.7072635026390228,-0.9987190029719324,0.22745166513222648,0.44739122063919934,0.7085444996670904,-0.6291121422454741
KIT_3_wave_left01_poses_100_jpos,quiet,0.846631864577582,0.6994818723156483,-1.5629216046853798,-0.8896866871297978,0.22745166513222648,0.44739122063919934,0.673234917555582,-0.1471499922619337
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,quiet,1.0690838283251773,0.5800920735411308,-1.7915435363028929,-1.0687944889836305,0.22745166513222648,0.44739122063919934,0.7227490473192624,-0.48899175478404655
Eyes_Japan_Dataset_kanno_gesture_etc-50-syuriken-kanno_poses_120_jpos,quiet,0.7461053329695678,0.3885707443551941,-1.8226925949179416,-1.0986288913558941,0.22745166513222648,0.44739122063919934,0.7240637035620474,-0.3575345886143737
KIT_950_Wipe_Back_Small_Circle_01_poses_100_jpos,quiet,1.836702774209351,0.3794940629547104,-2.6994257918264513,-2.2425438256055736,0.22745166513222648,0.44739122063919934,0.4568819662208776,-1.4572087112546406
KIT_1487_stirring_in_the_bowl07_poses_100_jpos,quiet,0.9146913298121018,0.6035199243835316,-1.6941898878806685,-1.0040719459025405,0.22745166513222648,0.44739122063919934,0.690117941978128,-0.31117140542857014
KIT_1717_displace_from_left_to_right_14_poses_100_jpos,quiet,0.6968001213662764,0.3101496712210602,-1.6417755922972683,-0.9705707629010297,0.22745166513222648,0.44739122063919934,0.6712048293962386,-0.38665045014521626
KIT_969_Trial_30_poses_100_jpos,quiet,0.5291509243472687,0.2216838123564016,-1.8158299186745175,-1.0902590353499,0.22745166513222648,0.44739122063919934,0.7255708833246175,-0.3074671119908671
KIT_572_wipe_circular_left07_poses_100_jpos,quiet,0.5916467876470927,0.26391875228783357,-1.8029809362337246,-1.0790108133449046,0.22745166513222648,0.44739122063919934,0.72397012288882,-0.3277280353592591
KIT_1229_hand_through_hair_right_arm_02_poses_100_jpos,quiet,0.8181930475436768,0.42327340650908996,-1.9191122107471472,-1.157670638376075,0.22745166513222648,0.44739122063919934,0.7614415723710721,-0.3949196410345869
KIT_291_shake_hand05_poses_100_jpos,quiet,1.0629370277160357,0.4189284927531432,-1.9801441548134688,-1.2173955037552686,0.22745166513222648,0.44739122063919934,0.7627486510582002,-0.6440085349628926
