clip,offset_s,survival,mean_survival_s,n,window_s
CMU_89_89_01_poses_60_jpos,6.0,0.0,1.007,8,3.0
CMU_89_89_01_poses_60_jpos,8.0,0.0,0.602,8,3.0
CMU_89_89_01_poses_60_jpos,mean,0.7143,,56,3.0
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,2.0,0.625,2.928,8,3.0
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,3.0,0.0,1.867,8,3.0
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,4.0,0.0,0.498,8,3.0
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,6.0,0.0,0.67,8,3.0
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,8.0,0.0,0.675,8,3.0
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,mean,0.375,,56,3.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,2.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,3.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,4.0,0.0,2.115,8,3.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,6.0,0.0,0.537,8,3.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,8.0,0.0,0.743,8,3.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,mean,0.5714,,56,3.0
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,2.0,1.0,3.0,8,3.0
