clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
KIT_513_seesaw_up08_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up08_poses_100_jpos,4.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
KIT_513_seesaw_up08_poses_100_jpos,6.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
KIT_513_seesaw_up08_poses_100_jpos,8.0,1.0,2.24,8,2.24,0.00035,0.03879,0.03879
KIT_513_seesaw_up08_poses_100_jpos,mean,1.0,,56,3.0,6e-05,,
KIT_317_go_over_beam06_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_317_go_over_beam06_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.00017,0.00862,0.0
KIT_317_go_over_beam06_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_317_go_over_beam06_poses_100_jpos,3.0,1.0,2.84,8,2.84,6e-05,0.00862,0.00862
KIT_317_go_over_beam06_poses_100_jpos,4.0,1.0,1.82,8,1.82,0.00019,0.00862,0.0
KIT_317_go_over_beam06_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.01293,0.02586,0.02586
KIT_317_go_over_beam06_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
KIT_317_go_over_beam06_poses_100_jpos,mean,1.0,,56,3.0,0.00222,,
KIT_513_seesaw_down09_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_down09_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_down09_poses_100_jpos,2.0,1.0,3.0,8,3.0,9e-05,0.00431,0.0
KIT_513_seesaw_down09_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_down09_poses_100_jpos,4.0,1.0,2.26,8,2.26,0.00042,0.03448,0.02586
KIT_513_seesaw_down09_poses_100_jpos,6.0,1.0,0.26,8,0.26,0.00232,0.03017,0.03017
KIT_513_seesaw_down09_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.0,0.0,0.0
KIT_513_seesaw_down09_poses_100_jpos,mean,1.0,,56,3.0,0.0004,,
KIT_3_kick_high_right03_poses_100_jpos,0.0,0.0,1.405,8,3.0,6e-05,0.00431,0.00431
KIT_3_kick_high_right03_poses_100_jpos,1.0,0.0,0.412,8,3.0,0.00104,0.02155,0.02155
KIT_3_kick_high_right03_poses_100_jpos,2.0,1.0,2.54,8,2.54,0.00041,0.02586,0.02586
KIT_3_kick_high_right03_poses_100_jpos,3.0,1.0,1.54,8,1.54,0.0005,0.03879,0.03879
KIT_3_kick_high_right03_poses_100_jpos,4.0,1.0,0.52,8,0.52,0.0,0.0,0.0
KIT_3_kick_high_right03_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
KIT_3_kick_high_right03_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.00647,0.01293,0.01293
KIT_3_kick_high_right03_poses_100_jpos,mean,0.7143,,56,3.0,0.00183,,
CMU_114_114_04_poses_120_jpos,0.0,0.0,0.285,8,3.0,0.00088,0.01293,0.00431
CMU_114_114_04_poses_120_jpos,1.0,0.875,2.668,8,3.0,0.0004,0.01724,0.00431
CMU_114_114_04_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_114_114_04_poses_120_jpos,3.0,1.0,3.0,8,3.0,6e-05,0.00431,0.0
CMU_114_114_04_poses_120_jpos,4.0,1.0,3.0,8,3.0,6e-05,0.00431,0.0
CMU_114_114_04_poses_120_jpos,6.0,1.0,1.44,8,1.44,0.0,0.0,0.0
CMU_114_114_04_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.02802,0.04741,0.01724
CMU_114_114_04_poses_120_jpos,mean,0.8393,,56,3.0,0.0042,,
CMU_136_136_27_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_136_136_27_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_136_136_27_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.00078,0.02155,0.0
CMU_136_136_27_poses_120_jpos,3.0,1.0,3.0,8,3.0,6e-05,0.00431,0.0
CMU_136_136_27_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.00066,0.02155,0.0
CMU_136_136_27_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_136_136_27_poses_120_jpos,8.0,1.0,1.04,8,1.04,0.0,0.0,0.0
CMU_136_136_27_poses_120_jpos,mean,1.0,,56,3.0,0.00021,,
Eyes_Japan_Dataset_aita_gesture_etc-20-swing_chair-aita_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_aita_gesture_etc-20-swing_chair-aita_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_aita_gesture_etc-20-swing_chair-aita_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_aita_gesture_etc-20-swing_chair-aita_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_aita_gesture_etc-20-swing_chair-aita_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_aita_gesture_etc-20-swing_chair-aita_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_aita_gesture_etc-20-swing_chair-aita_poses_120_jpos,8.0,1.0,3.0,8,3.0,6e-05,0.00431,0.0
Eyes_Japan_Dataset_aita_gesture_etc-20-swing_chair-aita_poses_120_jpos,mean,1.0,,56,3.0,1e-05,,
KIT_424_step_stones03_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_step_stones03_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_step_stones03_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0004,0.02155,0.0
KIT_424_step_stones03_poses_100_jpos,3.0,0.25,2.685,8,3.0,0.00016,0.02155,0.01724
KIT_424_step_stones03_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_step_stones03_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_step_stones03_poses_100_jpos,8.0,1.0,3.0,8,3.0,9e-05,0.00431,0.0
KIT_424_step_stones03_poses_100_jpos,mean,0.8929,,56,3.0,9e-05,,
DFaust_67_50004_50004_knees_poses_60_jpos,0.0,0.0,1.317,8,3.0,0.00019,0.01293,0.01293
DFaust_67_50004_50004_knees_poses_60_jpos,1.0,0.0,0.985,8,3.0,0.0007,0.03448,0.03448
DFaust_67_50004_50004_knees_poses_60_jpos,2.0,0.0,0.167,8,3.0,0.00347,0.03017,0.03017
DFaust_67_50004_50004_knees_poses_60_jpos,3.0,0.0,1.6,8,3.0,0.00063,0.01724,0.00431
DFaust_67_50004_50004_knees_poses_60_jpos,4.0,0.0,0.2,8,3.0,0.00259,0.02586,0.02586
DFaust_67_50004_50004_knees_poses_60_jpos,6.0,0.0,2.185,8,3.0,0.00024,0.02586,0.02586
DFaust_67_50004_50004_knees_poses_60_jpos,8.0,0.0,0.33,8,3.0,0.00182,0.03017,0.03017
DFaust_67_50004_50004_knees_poses_60_jpos,mean,0.0,,56,3.0,0.00138,,
KIT_359_walking_fast01_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_walking_fast01_poses_100_jpos,1.0,1.0,2.76,8,2.76,3e-05,0.00431,0.00431
KIT_359_walking_fast01_poses_100_jpos,2.0,1.0,1.76,8,1.76,0.0001,0.00862,0.0
KIT_359_walking_fast01_poses_100_jpos,3.0,1.0,0.76,8,0.76,0.00045,0.01724,0.01724
KIT_359_walking_fast01_poses_100_jpos,4.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
KIT_359_walking_fast01_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.0,0.0,0.0
KIT_359_walking_fast01_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00431
KIT_359_walking_fast01_poses_100_jpos,mean,1.0,,56,3.0,0.00193,,
CMU_122_122_34_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
